,lenght,time_enc,time_dec
1581,25,997304.9163818359,996828.0792236328
1584,25,997543.3349609375,997781.7535400391
1589,49,997066.4978027344,997781.7535400391
1590,49,998735.4278564453,997304.9163818359
1594,62,996351.2420654297,996828.0792236328
1598,62,997304.9163818359,996589.6606445312
1610,80,997543.3349609375,997066.4978027344
1611,61,997066.4978027344,997543.3349609375
1614,61,996828.0792236328,997781.7535400391
1615,61,997066.4978027344,998020.1721191406
1622,50,998497.0092773438,997543.3349609375
1624,50,997066.4978027344,992774.9633789062
1626,91,997543.3349609375,998258.5906982422
1627,91,996828.0792236328,995635.986328125
1632,24,997543.3349609375,997304.9163818359
1645,86,997304.9163818359,997066.4978027344
1649,31,997066.4978027344,997066.4978027344
1652,31,997304.9163818359,996589.6606445312
1655,31,997781.7535400391,995874.4049072266
1658,8,997066.4978027344,996112.8234863281
1671,85,996112.8234863281,997781.7535400391
1675,40,997304.9163818359,998020.1721191406
1678,40,997066.4978027344,997304.9163818359
